nohup: ignoring input
------------ Options -------------
arbitrary_len: False
batch_size: 128
checkpoints_dir: ./checkpoints/vae
clip_set: ./dataset/pose_clip_full.csv
coarse_grained: False
dataset_type: ntu_rgbd_vibe
decoder_hidden_layers: 2
dim_embedding: 768
dim_z: 30
eval_every: 2000
gpu_id: 0
hidden_size: 128
isTrain: True
is_continue: False
iters: 50000
lambda_align: 0.5
lambda_kld: 0.01
lambda_trajec: 0.8
lie_enforce: False
motion_length: 60
name: NTUembed
no_trajectory: False
plot_every: 50
posterior_hidden_layers: 1
print_every: 20
prior_hidden_layers: 1
save_every: 2000
save_latest: 50
skip_prob: 0
tf_ratio: 0.6
time_counter: True
use_geo_loss: False
use_lie: True
-------------- End ----------------
Total number of frames 249364, videos 3900, action types 13
GaussianGRU(
  (embed): Linear(in_features=823, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
  )
  (mu_net): Linear(in_features=128, out_features=30, bias=True)
  (logvar_net): Linear(in_features=128, out_features=30, bias=True)
)
Total parameters of prior net: 212284
GaussianGRU(
  (embed): Linear(in_features=823, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
  )
  (mu_net): Linear(in_features=128, out_features=30, bias=True)
  (logvar_net): Linear(in_features=128, out_features=30, bias=True)
)
Total parameters of posterior net: 212284
DecoderGRULie(
  (embed): Linear(in_features=853, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
    (1): GRUCell(128, 128)
  )
  (output): Linear(in_features=128, out_features=54, bias=True)
  (output_lie): Linear(in_features=51, out_features=51, bias=True)
)
Total parameters of decoder: 317074
66m 0s (- 2164m 15s) niter: 1480 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.042 
66m 52s (- 2162m 10s) niter: 1500 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.048 
67m 43s (- 2160m 14s) niter: 1520 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.035 
68m 30s (- 2155m 37s) niter: 1540 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.035 
69m 15s (- 2150m 24s) niter: 1560 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.054 
69m 59s (- 2144m 58s) niter: 1580 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.050 
70m 44s (- 2140m 4s) niter: 1600 completed:   3%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.049 
71m 30s (- 2135m 27s) niter: 1620 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.033 
72m 15s (- 2130m 53s) niter: 1640 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.050 
73m 0s (- 2125m 51s) niter: 1660 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.044 
73m 45s (- 2121m 18s) niter: 1680 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.046 
74m 30s (- 2116m 47s) niter: 1700 completed:   3%) g_loss: 0.006  g_recon_loss: 0.005  g_kld_loss: 0.033 
75m 16s (- 2113m 10s) niter: 1720 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.042 
76m 1s (- 2108m 26s) niter: 1740 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.035 
76m 45s (- 2104m 2s) niter: 1760 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.044 
77m 31s (- 2100m 3s) niter: 1780 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.047 
78m 17s (- 2096m 30s) niter: 1800 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.055 
79m 2s (- 2092m 38s) niter: 1820 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.043 
79m 48s (- 2088m 53s) niter: 1840 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.057 
80m 34s (- 2085m 36s) niter: 1860 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.051 
81m 21s (- 2082m 28s) niter: 1880 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.045 
82m 6s (- 2078m 40s) niter: 1900 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.046 
82m 54s (- 2076m 11s) niter: 1920 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.051 
83m 41s (- 2073m 8s) niter: 1940 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.056 
84m 26s (- 2069m 41s) niter: 1960 completed:   3%) g_loss: 0.006  g_recon_loss: 0.005  g_kld_loss: 0.045 
85m 13s (- 2066m 46s) niter: 1980 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.059 
85m 59s (- 2063m 47s) niter: 2000 completed:   4%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.053 
86m 46s (- 2061m 5s) niter: 2020 completed:   4%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.059 
87m 33s (- 2058m 17s) niter: 2040 completed:   4%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.057 
88m 19s (- 2055m 19s) niter: 2060 completed:   4%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.059 
